content,content_preprocessed,sentimen
Ok...,oke,NEGATIVE
Ok.. Tapi pitur dana cicil saya belom bisa di pake,oke tapi pitur cicil belum bisa,NEUTRAL
deski wanimbo,deski wanimbo,NEGATIVE
"bagaimana ini sudah 1 minggu akun saya tidak bisa premium udah laporin dan kasih bukti"" malah di diemin . jangan di salah gunakan tolong para narasumber aplikasi dana.",minggu akun tidak bisa premium laporin kasih bukti diemin jangan salah tolong narasumber,NEGATIVE
Ga jelas masa iyh baru masuk dana nya langsung ilang kan apk tolol blm tf ke siapa pun juga,tidak iyh hilang tolol belum transfer,NEGATIVE
Bagus ya mantap,bagus mantap,POSITIVE
Dana saya terpendam terus menerus dan kata adminnya semoga bisa membantu anda... Woyyy tolong perbaiki yang seperti ini dana terpendam.,pendam terus terus adminnya moga bisa bantu woy tolong baik pendam,NEGATIVE
"Saya setiap bulan kena potongan 65.000, di goggle. ada apa dengan apk ini. Saya juga tidak ada langganan di apk yg lainya tp selalalu setiap bulan kena potong sama goggle 65.000 secara Otomatis...",potong goggle tidak langgan lai selalalu potong goggle otomatis,NEGATIVE
"Aplikasi nya bagus, hanya saja CS nya kurang paham bahasa indonesia., Saya sangat kecewa dengan payanan aplikasi DANA... Cs bernama josh",bagus customer service kurang paham bahasa indonesia sangat kecewa payanan customer service nama josh,NEGATIVE
"segini dulu, ntar dinaikin lagi kapan2",gin ntar dinaikin lagi,NEUTRAL
"Aplikasi tidak bertanggung jawab, Top up dana via Mbanking sukses tapi saldo dana tidak bertambah, sudah melapor ke CS atas kendala saldo dana tidak bertambah tapi tetap tak ada titik terang. Tolong kembalikan uang saya yg nominal nya tidak sedikit !! Pencuri, TIDAK AKAN LAGI SAYA MENGGUNAKAN APLIKASI YG TAK BERTANGGUNGJAWAB INI. KEMBALIKAN UANG SAYA DASAR APLIKASI TIDAK BERTANGGUNG JAWAB !!",tidak tanggung isi saldo via mbanking sukses tapi saldo tidak tambah lapor customer service kendala saldo tidak tambah tapi tidak titik terang tolong kembali uang nominal tidak curi tidak lagi tidak bertanggungjawab kembali uang dasar tidak tanggung,NEGATIVE
"saya banyak keluhan ,tapi d suruh ngantri lama. jaringan dana jelek sekali terutama malam hari. mau buka fitur pulsa data. ga ke buka2. .. payah sekali platform ini👎",keluh tapi suruh ngantri jaring jelek malam buka fitur pulsa data tidak payah platform,NEGATIVE
Knp ngk bisa login otp cuman loding mulu. Ngk ad masuk otp tpi cuamn loding mulu hasu asu,ngk bisa kode otp loding terus ngk kode otp cuamn loding terus hasu asu,NEUTRAL
best apps,best,POSITIVE
Sangat membantu dalam melakukan berbagai transaksi pembayaran apapun,sangat bantu transaksi bayar apa,POSITIVE
Saya tf uang keterangan sukses tapi uangnya engga ada masuk kerekening saya.,transfer uang terang sukses tapi uang tidak rekening,NEUTRAL
"Tumben aplikasi dana ga jelas, biasanya aman2 aja ternyata sekali ada masalah penanganannya tidak cepat dan tidak menyelesaikan masalah",tumben tidak tangan tidak cepat tidak selesai,NEGATIVE
Kebanyakan ganggu an ' ngga bermutu,banyak ganggu an tidak mutu,NEGATIVE
Kenapa akun saya sudah upgrade ke premium disuruh upgrade lagi. Waktu di upgrade kedua kali tidak bisa. Peraturan nya juga bilang nggak bisa pake e KTP kedua kali. Tapi saya pakai di akun yg sama dan no hp yg sama,akun upgrade premium suruh upgrade lagi upgrade tidak bisa atur bilang tidak bisa ktp tapi akun nomor handphone,NEGATIVE
Kenapa setiap mau potoin KTP gagal terus harus gimana ya,potoin ktp gagal terus,NEGATIVE
Aktifkan dana premium tampa ktp,aktif premium tampa ktp,NEUTRAL
Makin gak jelas apknya,tidak apknya,NEGATIVE
"Ini saya mau lapor dari pihak pengguna aplikasi dana, ini uang yang di dana saya disedot oleh google gimana tanggapan nya dari pihak aplikasi dana yha, soal nya di live chat di dana malah bikin emosi ribet , tolong tanggung jawabnya dari pihak aplikasi dana, sudah banyak aplikasi dana dibobol orang, katanya ini aplikasi besar tapi kok masih bisa dibobol oleh orang lain .",lapor guna uang sedot google tanggap yha live chat bikin emosi rumit tolong tanggung bobol tapi kok masih bisa bobol,NEGATIVE
"Gk bisa dibuka dihp oppo a37f,aelahh",tidak bisa buka dihp oppo aelahh,NEUTRAL
baru pakai om..sya lhat dlu kenyamanan nya...thanks,om lhat nyaman terima kasih,NEGATIVE
"apk sangat bagus dan berguna, udah cara pakainya mudah,tranfer gratis pokoknya is the bass lah kepada pihak dana buat fitur2 terbarunya lagi agar pengguna semagat buat apk dana digitalnya dan bagus kren. 👍",sangat bagus guna pakai mudah transfer gratis pokok is the bass baru lagi guna semagat digital bagus kren,POSITIVE
Kerennnnn,keren,POSITIVE
Sudah mantap ok,mantap oke,POSITIVE
Isi saldo lama masuk .. tf ga kena2 ehh tiba2 akun di bekukan .. gaje bgt Gimana nih updte skrng makin payah ..,isi saldo transfer tidak ehh akun beku gaje banget updte payah,NEGATIVE
Mantep good,mantep bagus,POSITIVE
"3 dulu aja karena gak bisa upgrade premium, udah nunggu 3 hari gak ada respon lg. Seminggu kemudian tetep gak bisa upgrade.",tidak bisa upgrade premium tunggu tidak respons lagi minggu tidak bisa upgrade,NEGATIVE
siplah,sip,NEGATIVE
mohon maaf ya ka kenapa aplikasi nya udah ga bisa di gunain lagi,maaf tidak bisa gunain lagi,NEUTRAL
"Menurut saya dompet digital dana ini keamanan nya buruk, berdasarkan pengalaman saya , saya pernah transfer ke no yg no nya itu blm pernah daftarin dana tapi uangnya terkirim dan ga bisa di kembalikan , baru kemarin ada seseorang yg bisa masuk ke akun saya trus transfer semua isi saldo di akun saya dan dia ganti pin juga , mohon jadi perhatiannya dan segera di perbaiki karena ini menyangkut masalah uang",dompet digital aman buruk dasar alam transfer nomor nomor belum daftarin tapi uang kirim tidak bisa kembali kemarin bisa akun terus transfer isi saldo akun ganti pin perhati baik uang,NEGATIVE
Dana kenapa ya dari zdi mo transfer ga bisa bisa,zdi mo transfer tidak bisa bisa,NEUTRAL
Sangatmembantu,sangatmembantu,POSITIVE
Sangat membantu dalam pengiriman dan penarikan DANA. Semoga DANA selalu melindungi akun dengan baik agar terhindar dari orang-orang yang tak bertanggung jawab.,sangat bantu kirim tari moga selalu lindung akun baik hindar tidak tanggung,POSITIVE
mempermudah segala sesutu dalam kehidupan sehari hari,mudah sesutu hidup hari,POSITIVE
"Dimohon untuk di perbaiki, bukanya mempermudah malah sebaliknya buat TF aja loadingnya lama sedangkan jaringan saya lancar² saja, mohon untuk segera di perbaiki lagi Terimakasih",mohon baik buka mudah transfer muat jaring lancar baik lagi terima kasih,NEGATIVE
Woy itu kok daftar ke dana premium gagal terus si?????!!!! Pdhl sudah di foto dengan jelas tapi keterangan foto nya ga jelas gimana ini?!!!!!???? Perbaikilah,woy kok daftar premium gagal terus si foto tapi terang foto tidak baik,NEGATIVE
mantappppppooooooo,mantapo,POSITIVE
"Aplikasi pencuri, gua kirim uang dari dana ke bank lain, transaksi berhasil tapi saldo tidak masuk ke rekening tujuan. Jangan ada yang pake aplikasi ini lagi",curi kirim uang bank transaksi hasil tapi saldo tidak rekening tuju jangan lagi,NEGATIVE
Tidak bisa hapus akun dana,tidak bisa hapus akun,NEUTRAL
Untuk apa ada verifikasi wajah segala kalo penipu masih bisa bobol lewat nomor telepon,verifikasi wajah tipu masih bisa bobol nomor telepon,NEGATIVE
Gimana sih kok ga bisa TF padahal lagi butuh banget kecewa banget sama apk ini,sih kok tidak bisa transfer lagi butuh banget kecewa banget,NEGATIVE
jangan sering di update,jangan sering update,POSITIVE
"Aplikasi paling merugikan ,maling",rugi maling,NEGATIVE
Dana sekarang ga aman saldo bisa transaksi sendiri repot baru di isi langsung habis,tidak aman saldo bisa transaksi repot isi habis,NEGATIVE
Sya tidak suka karna saldo sya hilang tiba tiba,tidak suka saldo hilang,NEGATIVE
lumayan bagus sangat mmbntu,lumayan bagus sangat mmbntu,POSITIVE
"Terimakasih atas sarannya, uang saya sudah kembali, saya harap hal ini tidak terjadi lagi dan Dana semakin meningkat",terima kasih saran uang harap tidak lagi tingkat,POSITIVE
Sangat mudah digunakan 😄😄😄💯mantaf,sangat mudah mantaf,POSITIVE
"sangat membantu buat tf cepat dan gak pake admin gratis,semoga sukses selalu.",sangat bantu transfer cepat tidak gratis moga sukses selalu,POSITIVE
"Kenapa mau login dana tidak bisa, tombol lanjutkan setelah mengisi nomor tidak bisa di tekan",tidak bisa tombol lanjut isi nomor tidak bisa tekan,NEUTRAL
"Tiba tiba pembekuan akun ini gimana maksudnya, saldonya ada lumayan lagi. Kasih info baru B5. Kata cs ndak boleh buka aplikasi dana, nanti uangnya bisa hilang. Kan repot banget",beku akun maksud saldo lumayan lagi kasih info customer service tidak buka uang bisa hilang repot banget,NEGATIVE
"woi dana ini transfer knp g masuk .. tidak usah d update ,,mlah makin rusak, tidak malah bener malah rusak",woi transfer tidak tidak update mlah rusak tidak rusak,NEGATIVE
"Aplikasi nya bagussss banget,ayo coba smua nya ☺️🥰",bagus banget ayo coba,POSITIVE
Dulu bagus .skrg transaksi makin lemot dan minta upgrade ke dana premium .bagai mana ini,bagus transaksi lambat upgrade premium,NEGATIVE
Pulsa,pulsa,POSITIVE
Bang gara² ada lu gw jarang Nemu duit di jalan hehe,gara jarang nemu uang jalan hehe,NEGATIVE
sy sangat bangga dgn aplikasi dana karna sngat mudah untuk keperluan di saat darurat 👍👍makanya sy ksh bintang 5👌👍👍😘,sangat bangga sngat mudah perlu darurat ksh bintang,POSITIVE
Coba dulu ya,coba,NEGATIVE
Semakin lama proses pembelian...,proses beli,NEGATIVE
"Kendala saya hanya kenapa fitur pulsa dan data tidak bisa di buka,tolong d perbaiki",kendala fitur pulsa data tidak bisa buka tolong baik,NEGATIVE
Tidak dapat mengubah ke dana premium,tidak ubah premium,NEUTRAL
aplikasi bagus buat topup epep 🗿🗿🗿🗿,bagus isi saldo epep,POSITIVE
"Td pagi jam 11an tgl 3 Januari 2024 saya dpt Transfer 50rb dr CIMB NIAGA lalu saya beli paket kuota indosat FREEDOM INTERNET 20+2GB ( FREEDOM INTERNET 22GB yg 30hari seharga 45rb ) sdh saya bayar lwt DANA tp paket kuota saya blm masuk2. Saya chat ke Agent Dana brnama Diana kirain Customer Service gatau nya cm mesin penjawab. Pdhal di bukti transaksi aplikasi DANA ada buktinya...PENIPUAN !!! Males bgt chat ke Diana Cs DANA, ngpain...cm jwbnya itu2 doang gada jwban nya.makan tuch uang ga halal !!!",td pagi jam tgl januari dpt transfer cimb niaga beli paket kuota indosat freedom internet freedom internet harga bayar lwt paket kuota belum chat agent brnama kirain customer service gatau mesin jawab bukti transaksi bukti tipu males banget chat customer service ngpain jwbnya gada jwban makan tuch uang tidak halal,NEUTRAL
cuma minum nya tidak ada admin bot saja..,minum tidak bot,NEGATIVE
Pnyimpanan,pnyimpanan,POSITIVE
aplikasi yang bagus buat trsfer,bagus transfer,POSITIVE
Oke dana,oke,POSITIVE
Maaf saya kasih 1 soal banyak bug ny walau pun udh di updt,maaf kasih error updt,NEUTRAL
"Saya membeli paket data di my XL dengan pembayaran menggunakan aplikasi DANA sebesar 93.800.Saldo DANA sudah terpotong,tapi paket belum kunjung terkirim, setelah 1 Hari menunggu tetep belom masuk paket data tsb. Akhirnya saya telfon pihak XL,Mereka mengkonfirmasi pada jam saat membeli paket tsb sedang terjadi trouble namun pihak XL sudah merefaund saldo saya,jika saldo belom pulih silahkan mengkonfirmasi pihak aplikasi DANA. Tapi setelah saya konfirmasi sudah 5 hari belom ada pengembalian dana.",beli paket data my xl bayar saldo potong tapi paket belum kunjung kirim tunggu belum paket data tsb telfon xl konfirmasi jam beli paket tsb trouble xl merefaund saldo saldo belum pulih silah konfirmasi tapi konfirmasi belum kembali,NEGATIVE
"Gak merasa transaksi apa-apa tapi saldo Saya habis atu ludes, gak banyak sih tapi kecewa kok bisa di jebol sama orang lain",tidak transaksi tapi saldo habis atu ludes tidak sih tapi kecewa kok bisa jebol,NEGATIVE
apk nya bagus sekali👍👍,bagus,POSITIVE
Sangat membantu & memudahkan bertransaksi,sangat bantu mudah transaksi,POSITIVE
saya sering tiap hari bertransaksi tapi tidak ada dana cicil di akun saya bahkan playter juga kaga ada apah sistem nya kaga liat yah,sering transaksi tapi tidak cicil akun playter tidak apah sistem tidak liat,NEUTRAL
Burik Makin sini makin gangguan mulu,burik ganggu terus,NEGATIVE
"Transaksi pembayaran PDAM status proses terus nih , transaksi ditempat lain lancar , gimana saldonya ya aplikasi karbitan",transaksi bayar pdam status proses terus transaksi tempat lancar saldo karbitan,NEUTRAL
"ga kepake sama sekali apk nya mulai dari awal download sampe sekarang dikarenakan gabisa daftar, padahal udah diisi nomer telfon yg bener eh pas dilanjutkan malah muncul (jaringan bermasalah, silahkan coba beberapa saat lagi) gacuman itu aja pas udah didiemin sampe berapa mingguan eh ganti lagi jadi muncul (akun anda dibekukan), sampe liat di yt katanya bersihkan cache wes tak coba semuanya tetep zonk.. otw uninstall, oiya sekalian saran dong apk apa yg bagus selain ini buat dompet digital 🙏🏻",tidak kepake download tidak bisa daftar isi nomor telfon eh pas lanjut muncul jaring masalah silah coba lagi gacuman pas didiemin minggu eh ganti lagi muncul akun beku liat yt sih cache wes tidak coba zonk otw uninstall oiya saran dong bagus dompet digital,NEGATIVE
Pengisian saldo dari agen resmi tetap terpotong 500,isi saldo agen resmi potong,NEUTRAL
Jaringan sibuk splikasi tidak bisa digunakan,jaring sibuk splikasi tidak bisa,NEGATIVE
Lumayan bagus aplikasi nya....Saya sangat menyukai nya............,lumayan bagus sangat suka,POSITIVE
OK nice,oke nice,POSITIVE
pake dana ga ribet..simple banget..,tidak rumit simple banget,NEGATIVE
semua jd mudah😊,mudah,POSITIVE
Mengapa tidak ada sensor wajah,tidak sensor wajah,NEGATIVE
Bagus sangat penting untuk dimiliki,bagus sangat milik,POSITIVE
BENER SUKA BGT SAMA APK MASHYAGANANZVSVAHYSGS❤️❤️❤️❤️,suka banget mashyagananzvsvahysgs,NEUTRAL
"Saldo gua hilang Rp.500.000, ada transaksi tanpa gua ketahui, ternyata sudah banyak korbannya",saldo hilang transaksi tanpa tahu korban,NEGATIVE
Udah bagus tapi belum puas belum ada fitur paylater,bagus tapi belum puas belum fitur paylater,POSITIVE
Dana asu penipuu gak bertanggung jawab,asu penipuu tidak tanggung,NEGATIVE
"Kenapa uang dana saya di beku kan ,trus kalau mau uang itu kmbli harus top up dulu,",uang beku terus uang kmbli isi saldo,NEUTRAL
menurut saya aplikasi ini bagus dan tetapi kalau mau membantu orang yang hilang nomor telepon nya biar bisa mengganti nomor telpon nya dengan yang baru dan tetapi jangan dipersulit,bagus bantu hilang nomor telepon bisa ganti nomor telepon jangan sulit,NEGATIVE
mohon perbaiki biar jadi langganan ya,baik langgan,NEGATIVE
Gangguan ya bosss,ganggu bos,NEGATIVE
Kenapa saya selalu gagal saat upgrade dana premium !,selalu gagal upgrade premium,NEGATIVE
terlalu banyak potongan ketika isi saldo,potong isi saldo,NEGATIVE
cepet dn akurat,cepat akurat,POSITIVE
Baeono,baeono,NEGATIVE
moga dana bisa lebih maju.,moga bisa maju,POSITIVE
Sya maaukin akun saya kok ga masuk.dana makin sini kok makin kaya asu jelek banget.jangan coba2 instal dana nanti nyeselbanyak bag nya,maaukin akun kok tidak kok kaya asu jelek banget jangan instal nyeselbanyak bag,NEGATIVE
I LIKE..💞,like,NEUTRAL
Aplikasi jaringan terjelek ni,jaring jelek,NEGATIVE
Apk ga jelas masa akun gue di buat aktivitas ga wajar terus,tidak akun aktivitas tidak wajar terus,NEGATIVE
Ini knp app gk bs dibuka ya. Tolong apakah gangguan atau gmn? Udh uninstall trus install lg jg gk bs²,tidak bs buka tolong ganggu uninstall terus install lagi tidak bs,NEGATIVE
baik sangat bagus aplikasi dana,baik sangat bagus,POSITIVE
Tolong di aktifkan payleater,tolong aktif payleater,NEUTRAL
mantap..!!,mantap,POSITIVE
mantap ey,mantap ey,POSITIVE
"Sering gangguan ketika kirim,gak ada lanjutkan pembayaran dan top up e wallet sering bermasalah",sering ganggu kirim tidak lanjut bayar isi saldo wallet sering masalah,NEGATIVE
Kenapa kok aplikasi ini gak bisa dibuka Tolong lh tolong jgn kyak gini kali,kok tidak bisa buka tolong lh tolong jangan kyak gin,NEGATIVE
Ini mode pembayarannya kok gak muncull... ngestuck putih doang,mode bayar kok tidak muncull ngestuck putih,NEGATIVE
Mau bikin akun aja ribet harus pake kode referal .trus harus masuk lagi ke website nya .pokonya kalo buat pengguna baru mau buat akun aja ribet mending gak jadi dah males juga kalo ribet,bikin akun rumit kode referal terus lagi website poko guna akun rumit mending tidak males rumit,NEGATIVE
"Mohon info, kenapa saya tidak dapat ber transaksi lagi via DANA. Buka aplikasi stag diam terus di halaman cover DANA. Mohon info. Karena sy ada saldo di dana",info tidak ber transaksi lagi via buka stag diam terus halaman cover info saldo,NEUTRAL
"Bagaimana cara login bagi nomor telepon sudah hilang, mohon bantuannya",nomor telepon hilang bantu,NEUTRAL
top bgt pakai DANA. ngak rbt,top banget ngak rbt,NEGATIVE
DANA saya minta tolong... Bagaimana caranya mengaktifkan kembali akun yang telah hilang nomor hp nya..sedangkan saldonya masih ada..,tolong aktif akun hilang nomor handphone saldo masih,NEUTRAL
Fitur dana cicil belum ada di akun sya.. Apa harus pilih2 ngasih fitur dana cicilnya..? Tolong pihak dana agar diratakan setiap pengguna dana agar bisa diadakan FITUR DANA CICILnya . Dan bisa digunakan dlm keadaanendesak Jgn ini mah yg tertentu doang .. jd gk relefan,fitur cicil belum akun ngasih fitur cicil tolong rata guna bisa ada fitur cicil bisa keadaanendesak jangan mah tidak relefan,NEGATIVE
"NGISI KUOTA NYAMPE NYA LAMA , CS KGK ADA SOLUSI",isi saldo kuota nyampe customer service tidak solusi,NEUTRAL
Tolong lah bantu kami agar tidak ada lgi tuh transfer ke google sendiri,tolong bantu tidak lagi transfer google,NEGATIVE
Apk dompet digital yang keamanannya buruk dan pelayanan sistem yang lambat. GAUSAH DI DOWNLOAD GUYSS MENDING PAKE APK LAIN YANG LEBIH AMAN!,dompet digital aman buruk layan sistem lambat tidak download guyss mending aman,NEGATIVE
Apk sampah,sampah,NEGATIVE
transaksi jadi mudah..,transaksi mudah,POSITIVE
"Upgrade premium selalu ditolak, Padahal saldo saya 350rb. Sudah dilaporkan malah disuruh ngirim foto ktp, foto kk, foto dukomen pendukung dan video selfi dan disuruh menunggu 3 - 5 hari. Eh sekali nya dibalas disuruh melakukan pengajuan ulang. Nggak guna, jangan download mending pakai app yg lain",upgrade premium selalu tolak saldo lapor suruh kirim foto ktp foto kakak foto dukomen dukung video selfi suruh tunggu eh balas suruh aju ulang tidak jangan download mending,NEGATIVE
"Aplikasi leletnya minta ampun, ga kaya sebelah... Aplikasi perbankan aja cepet ini ampun leletnya",lelet ampun tidak kaya belah perban cepat ampun lelet,NEGATIVE
"Nggak hisa masuk dana jaringan bermasalah, mohon di bantu.. 🙏🏾🙏🏾🙏🏾",tidak hisa jaring masalah bantu,NEUTRAL
"Salah satu aplikasi dompet digital yang tingkat keamanannya sangat buruk, JANGAN MENGGUNAKAN APLIKASI INI!!!",salah dompet digital tingkat aman sangat buruk jangan,NEGATIVE
Enak buat tf tapi susah buat ngajuin penyelesaian masalah uang,transfer tapi sulit aju selesai uang,NEGATIVE
melakukan pembayaran cukup mudah hanya dgn menggunakan Dana,bayar mudah,NEUTRAL
"Saya mau login ke aplikasi dana, tapi aplikasi dana minta kode otp, nomor saya yang sy pakai daftar akun pun sudah hilang setahun yang lalu. Selama ini saya pakai aplikasi ini saya hanya diminta verifikasi melalui pin dan verifikasi wajah, baru tadi siang eror saya diminta kode otp. Saya hubungi operator dana melalui email, diana di dlm aplikasi, agar bisa terhubung kembali dengan aplikasi dana tanpa kode otp tapi saya semakin dibuat bingung oleh operatornya. Ini aplikasi bagaimana? Mohon solusi",tapi kode kode otp nomor daftar akun hilang tahun verifikasi pin verifikasi wajah siang error kode kode otp hubung operator email bisa hubung tanpa kode kode otp tapi bingung operator solusi,NEGATIVE
"bintang tiga dulu,soal nya masih sering mentenance.",bintang masih sering mentenance,NEUTRAL
Puas dengan aplikasi ini,puas,POSITIVE
"aplikasi yang gampang digunain para penipu. kurang perlindungan, data nasabah bisa bocor gitu aja. Tau detail transaksi segala macem",mudah digunain tipu kurang lindung data nasabah bisa bocor detail transaksi macem,NEGATIVE
Saya minta dana payleter,payleter,NEUTRAL
"woy gimana si ini apk nya jelek banget , aku buka apk mentok di login terus padahal sinyal bagus, tolong admin bug nya di perbaiki lagiiii , ngeselin!",woy si jelek banget buka mentok terus sinyal bagus tolong error baik lagi ngeselin,NEGATIVE
"Loadingnya lama banget, sering ada gangguan juga. Padahal baru diupdate sampai di uninstal trus didownload lagi pun sama lelet juga padahal sinyal full.",muat banget sering ganggu baru uninstal terus didownload lagi lambat sinyal full,NEGATIVE
Tlong donk gmn caranya masuk aplikasi dana nya.skrg sy blm bs mnggunakan bt transfernya pdhl sudah diisi saldo dana nya?tlong kasih tau caranya? Sllu upgrade j klu kirim diklik .knp y?hrs gmn lg?,tolong donk belum bs mnggunakan bt transfer isi saldo tolong kasih sllu upgrade kirim klik hrs lagi,NEGATIVE
Tidak bisa mengajukan dana premium padahal sudah sesuai ketentuan,tidak bisa aju premium sesuai tentu,NEGATIVE
baiksekali,baiksekali,POSITIVE
Susah upgrade dana premium,sulit upgrade premium,NEGATIVE
Tidak bisa di instal padahal sudah didownload tolong bantu,tidak bisa instal didownload tolong bantu,NEUTRAL
pengaman nya lebih tingkatin lagii kalo afk yg mau ngambil uang kita tuh kalo bisa kita setujui lagii,kam tingkatin lagi afk ambil uang bisa tuju lagi,NEGATIVE
huhhh butut duit gw ilang ini mah,huh butut uang hilang mah,NEGATIVE
"Aplikasi dana ga jelas saldo saya hilang sendiri tiba tiba ada transaksi ke nomor yg tidak di kenal, untuk customer service nya juga lelet bgt. Parah bgt ini",tidak saldo hilang transaksi nomor tidak kenal customer service lambat banget parah banget,NEGATIVE
supertop,supertop,POSITIVE
"maaf kk sebelum nya,pas saya mw login,di beri peringatan klw penipuan tuh minta kode otp dn pin,tp pas saya mw lanjut lagi malah di minta tuh dua² nyaa pin,sm otp ny...jadi itu gmn yh🙏",maaf kakak pas mw ingat klw tipu kode kode otp pin pas mw lagi nyaa pin kode otp yh,NEGATIVE
trimakasi dana,trimakasi,POSITIVE
"Mengapa tidak bisa di download, padahal kuota sudah disedot, apk makin jelek DANA.",tidak bisa download kuota sedot jelek,NEGATIVE
Dana sya mah suka ngirim sendiri ke google,mah suka kirim google,NEGATIVE
Ini aplikasi ny knp masak mau download aja payah kali loading nya,masak download payah loading,NEGATIVE
mantap 👍 lebih di tingkatkan lagi dan baiknya ada DANA pinjaman juga,mantap tingkat lagi baik pinjam,POSITIVE
Kenapa susah di instal setelah masuk gk bisa di buka,sulit instal tidak bisa buka,NEUTRAL
Ini gimana sih mau transfer uang aja harus ngantri gajelas banget nih dana gak kayak dulu dislike 👎👎👎👎👎👎,sih transfer uang ngantri tidak banget tidak kayak dislike,NEGATIVE
sangat cepat dan elegan thanks dana,sangat cepat elegan terima kasih,POSITIVE
mantap pisan apk dana,mantap pis,NEUTRAL
Mudah dan lancar transaksi atau pun bayar sesuatu melalui dana,mudah lancar transaksi bayar,POSITIVE
Verifikasi 1 nomor 1 ktp tolong dong dihapuskan Gak semua nomor itu bisa digunakan seumur hidup😩 aku sudah 2x ganti nmor karna keblokir tapi gak bisa sudah daftar dana premium karna ktp udah dipake daftar buat dana premium Klau dana gak premium jelek bgt gak bisa dipake buat tf,verifikasi nomor ktp tolong dong hapus tidak nomor bisa umur hidup ganti nmor blokir tapi tidak bisa daftar premium ktp dipake daftar premium tidak premium jelek banget tidak bisa dipake transfer,NEGATIVE
"mengecewakan, respon kendala sangat lama, bukti video dan scrensott kendala dah jelas..masalah gak kunjung selesai...vocer keburu dipakai masih blum bisa selesai masalah nya....vocer beli di dana zonk 20 ribu melayang gak jelas...gak lagi lagi...kapom",kecewa respons kendala sangat bukti video scrensott kendala tidak kunjung selesai vocer keburu pakai masih belum bisa selesai vocer beli zonk layang tidak tidak lagi lagi kapom,NEGATIVE
Makin GK jelas,tidak,POSITIVE
Aku kasih bintang 5 ... Tapi kenapa apk dana saya tidak bisa di buka ...padahal saya suka banget dengan aplikasi dana karena selalu enak buat transaksi .akhir akhir ini aplikasi dana suka eror dan tidak bisa di buka ...tolong lah jangan bikin resah dan gelisah kepada pengguna aplikasi dana kasian mereka biasa nya lancar buat buka aplikasi dan transaksi sekarang suka eror ...tolong secepat nya di perbarui,kasih bintang tapi tidak bisa buka suka banget selalu transaksi suka error tidak bisa buka tolong jangan bikin resah gelisah guna kasi lancar buka transaksi suka error tolong cepat baru,NEGATIVE
kurang aman,kurang aman,POSITIVE
bagus tapi butuh sinyal yg bagus dan berat juga,bagus tapi butuh sinyal bagus berat,NEGATIVE
sangat membatu disaat kritis bisa langsung transfer ke berbagai bank dengan aman....terima kasih atas layananya,sangat batu saat kritis bisa transfer bank aman terima kasih layananya,POSITIVE
sayang nya kenapa di persulit harus di upgrate dlu baru bisa tf atau tarik tuunai kalo ktpnya sudah pernah di gunakan lalu hp nya ilang di curi orang gimna coba,sayang sulit upgrate bisa transfer tarik tuunai ktpnya handphone hilang curi gimna coba,NEGATIVE
dana nya bagusss,bagus,POSITIVE
bagus bget,bagus bget,POSITIVE
saya suka apk ini bisah membantu transaksi,suka bisah bantu transaksi,POSITIVE
Saldo saya dikirim entah kemana padahal saya berlangganan aja tidak,saldo kirim mana langgan tidak,NEGATIVE
Harusnya. Kalau nomor yang tidak menggunakan DANA jangan bisa di transfer saldo. Biarkan transaksi itu gagal karena nomor tujuan salah. Yang rugi kan pengirimnya. Saldo tidak bisa balik.,nomor tidak jangan bisa transfer saldo biar transaksi gagal nomor tuju salah rugi kirim saldo tidak bisa,NEGATIVE
Sukses slalu buat apk dana saya sangat suka,sukses selalu sangat suka,POSITIVE
"Hati hati sekarang banyak modus penipuan mengatasnamakan dana , saya korban baru saya isi 850 RB masak iya penipu bisa tau kalau ada saldonya ? Gak mungkin dong pasti ada maen orang dalam",hati hati modus tipu mengatasnamakan korban isi masak iya tipu bisa saldo tidak dong maen,NEGATIVE
sip dah bener,sip,NEGATIVE
baguss bngt,bagus banget,POSITIVE
"puas banget pakek apl ini,gak ribet juga",puas banget pakek tidak rumit,POSITIVE
Kenapa saya udah keluar tidak bisa login lagi Padahal saya mau ambil uang,tidak bisa lagi ambil uang,NEGATIVE
Makasih atas di perbanyak jangan di ilangin lagi kayak kemarin,terima kasih banyak jangan ilangin lagi kayak kemarin,NEUTRAL
Mau transaksi gagal trus udah coba di update katanya gangguan dapet email ktnya harus hapus cache lalu upgrade data lagi tapi kenapa mlah gak bisa masuk,transaksi gagal terus coba update ganggu dapet email ktnya hapus cache upgrade data lagi tapi mlah tidak bisa,NEGATIVE
Ini kenapa Notifikasi hilang²an dah ??,notifikasi hilang,NEGATIVE
Aplikasi ini gampang dibobol sma orang sya baru aja kebobolan 600 ribu,mudah bobol bobol,NEGATIVE
"Uang di dana saya hilang.. dana aman tidak si? Ko bisa tanpa melakukan transaksi sisa saldo yg ada di dana, masuk ke dana orang lain.? Apa memang suka begitu ya? Tidak aman simpan uang di dana..",uang hilang aman tidak si kok bisa tanpa transaksi sisa saldo suka tidak aman simpan uang,NEGATIVE
