content,content_clean,sentimen
Entah apalah bukan semakin bagus malah semakin buruk untuk beli pulsa aja susah sekali terbuka padahal sudah versi terbaru,apa bukan bagus buruk beli pulsa susah buka versi baru,NEGATIVE
aplikasi mantaap.......,mantaap,NEGATIVE
saya kasi bintang 4,kasi bintang,POSITIVE
Makin gak epektif,tidak epektif,NEGATIVE
"ok,",ok,NEGATIVE
sangat memuaskan🥰🥰🥰,muas,POSITIVE
"mantap ,,,banyak promonya juga",mantap promonya,POSITIVE
"CUSTOMER SERVICE TIDAK ADA SOLUSI, LAPORAN TIDAK PERNAH DITANGGAPI, UANG SAYA HILANG, PEMBELIAN TIDAK PERNAH TERBAYAR, HATI HATI",customer service tidak solusi lapor tidak tanggap uang hilang beli tidak bayar hati hati,NEUTRAL
Saya sangat kecewa dengan dana sekarang kok bisa saldo saya hilang tiba2 padahal tiada siapapun kecuali saya yang megang hp.,kecewa saldo hilang tiada kecuali megang hp,NEGATIVE
kirim terima semakin mudah,kirim terima mudah,POSITIVE
Kenapa aplikasi DANA nya suka eror tolong dong kepada PT DANA NYA BIAR KAGA eror terus,suka error tolong pt biar tidak error,NEGATIVE
Apo hal Dana ni haa? orang mau bayar air PDAM dari akhir tahun sampai sekarang belum bisa juga.,apo ni haa orang bayar air pdam belum,NEGATIVE
Mengapa buat kirim antar dana kok error hari ini??,kirim error,NEGATIVE
bagus dan sangat bermanpaat,bagus bermanpaat,POSITIVE
"Assalamu'alaikum, maaf untuk pemilik apk dana, ini ada penipu mengatas namakan admin dana mengiming""i akan mendapatkan uang sebesar 2,5jt namun dia meminta data pribadi saya mohon untuk bantuan dan keamanan apk dana yg saya miliki karna saya memiliki pirasat buruk yg akan menimpa apk dana yg saya miliki pribadi, mohon bantuannya🙏🙏🙏",assalamu alaikum maaf milik tipu atas nama admin mengiming uang jt data pribadi mohon bantu aman milik milik pirasat buruk timpa milik pribadi mohon bantu,NEGATIVE
Tf gratis🥰💖💞,transfer gratis,NEUTRAL
sangat puas dengan pelayanan ini,puas layan,POSITIVE
irpansopandi,irpansopandi,NEUTRAL
Upgrade ke premium gagal terosss,upgrade premium gagal terosss,NEGATIVE
saat ini saya kasi bintang3 dlu karnah baru mencoba,kasi bintang dlu karnah coba,NEUTRAL
sangat baik recomnded,recomnded,POSITIVE
Ini gimana si dana engga jelas banget masa ada saldo bisa bisanya terkirim sendiri aneh banget sangat kecewa merugijan apk dans,si engga banget saldo bisa kirim aneh banget kecewa merugijan dans,NEGATIVE
sangat bagus dan mudah se x,bagus mudah,POSITIVE
"kenapa tiba2 akun dana saya tidak bisa di buka , bacaan akun anda di tangguhkan , kenapa bisa gitu lebih baik pakai ovo tidak pernah bermasalah",akun tidak buka baca akun tangguh gitu pakai ovo tidak masalah,POSITIVE
jangan suruh perbaharui terus donkk,jangan suruh baharu donkk,NEGATIVE
terimakasih Dana sudah sangat membantu saya☺,terimakasih bantu,POSITIVE
Kenapa akun saya ga bisa di buka,akun tidak buka,NEGATIVE
aplikasi berkembang sangat pesat,kembang pesat,POSITIVE
sangat membantu sekali 🙏,bantu,POSITIVE
"Awal nya sangat senang,tapi sekarang kecewa karena saldo dana tiba tiba hilang dan pihak dana pun lama merespon,kayak nya garansi uang kembali itu tidak berlaku",senang kecewa saldo hilang merespon kayak garansi uang tidak laku,NEGATIVE
mudah dalam melakukan pembayaran...,mudah bayar,POSITIVE
mantap berguna banget terimakasih,mantap guna banget terimakasih,POSITIVE
udah lebih 1 bulan upgrade ke premium juga tidak bisa. sudah semua syarat di minta. kalau gk bisa jangan suruh terus daftar !!!,upgrade premium tidak syarat tidak jangan suruh daftar,NEGATIVE
Ini kenapa ya baru download tapi sama sekali tidak bisa di buka,download tidak buka,NEGATIVE
"Upgrade ke premium susah bnget, pdh cmn supaya bisa tranfer ke bank lain",upgrade premium susah bnget pdh cmn tranfer bank,NEGATIVE
Kenapa selalu kirim ke e walet selalu eror padahal saldo saya sudah ada kenapa harus.ada kendala nih coba lagi nanti.maksudnya apa ya capek gitu kalok gini trss tolong lah di uprage gitu bug bug nya ayo lah kalok mau bintang 5 jangan kek gini juga tolong kinerja nya.saya hapus data trs sampai .anda terlalu sering meminta kode otp,kirim walet error saldo kendala coba maksud capek gitu kalok gin trss tolong uprage gitu bug bug ayo kalok bintang jangan kek gin tolong kerja hapus data trs kode otp,NEGATIVE
"sungguh smart, membantu banyak kalangan masyarakat..",sungguh smart bantu kalang masyarakat,POSITIVE
"saya seneng pakai aplikasi DANA ini,karena dapat membantu saya,terima kasih",neng pakai bantu terima kasih,POSITIVE
cara lebih mudah bertransaksi...😁,mudah transaksi,POSITIVE
Mohon pulsa 35 dan 45. Biar komplit. Banyak yg butuh,mohon pulsa biar komplit butuh,NEGATIVE
Sayameng alaman cantik,sayameng alam cantik,POSITIVE
jangan lemot2 dana,jangan lambat,NEGATIVE
"kenapa sering fermuk yah setiap kali mau transaksi,, jadi ribet kalo mau tarik dana ke konter",fermuk yah kali transaksi ribet kalo tarik konter,NEGATIVE
Gagal klaim sign in,gagal klaim sign in,NEUTRAL
"Coba di aplikasi dana di adakan penghapusan riwayat transaksi yg sudah tidak di angap berarti lagi, cuma itu poin penting Mohon kedepanya di perbaiki",coba adakan hapus riwayat transaksi tidak angap poin mohon depa baik,NEGATIVE
"murah, aman dan simple",murah aman simple,POSITIVE
Livin mandiri saya gak bisa transfer ke Dana saya bagai mana cara nya,livin mandiri tidak transfer,NEUTRAL
"Aku ke hack tapi pelayanan sangat lambat,kalo bisa jangan instal aplikasi ini sangat tidak membantu",hack layan lambat kalo jangan instal tidak bantu,NEGATIVE
guddd,guddd,NEGATIVE
bagus sangat membantu.. tp loading nya lama ... kalau urgent bikin esmoni . signal internetnya harus banyak,bagus bantu tp loading urgent bikin esmoni signal internetnya,NEGATIVE
Top up tidak bisa lewat atm BRI,top up tidak atm bri,NEUTRAL
Knpa dana sy ga bisa di update,knpa sy tidak update,NEUTRAL
Apknya sangat bagus,apknya bagus,POSITIVE
Bagus....terpercaya....,bagus percaya,POSITIVE
Tolong lebih bagus lagi,tolong bagus,POSITIVE
seneng aja sama aplikasi dana smoga sllu di gunakan shat2 sllu dan murah rezkinya amiiin,neng smoga sllu shat sllu murah rezkinya amiiin,POSITIVE
Suka berak² dana nya,suka berak,NEUTRAL
"Aplikasi dana ini sangat membantu, mantap pokoknya",bantu mantap pokok,POSITIVE
"sering error pas lagi di butuhkan, ribet. mau gue uninstall aja rasanya",error pas butuh ribet uninstall,NEGATIVE
Aplikasinya jelek dan burik,aplikasi jelek burik,NEGATIVE
Sampai kapan limit nominal transfer mulai normal,limit nominal transfer normal,NEUTRAL
sangat puas dengan aplikasi ini cuma sayangnya gak bisa di upgrade jadi premium gagal terus,puas sayang tidak upgrade premium gagal,POSITIVE
Pelayanan buruk sering masuk susah . Banyak gangguan trs tidak nyaman .,layan buruk masuk susah ganggu trs tidak nyaman,NEGATIVE
Mengapa dana paylater dan dana cicil tidak tersedia di akun dana saya.. Padahal saya sudah lama menggunakan Aplikasi dana... Mohon bantuan nya,paylater cicil tidak sedia akun mohon bantu,NEUTRAL
gampang caravpakainya,gampang caravpakainya,NEUTRAL
Bayar,bayar,POSITIVE
"Dulu suka pake ini,skr pingin banget gw uninstal. G bisa buat transfer,tp klo diisi saldo bisa. Gimana sih. Ntar klo dah bs gw ambil semua saldonya,sumpah gw bakal uninstal. Bintang 1 bahkan lebih baik sih ini,hrusnya g dpt bintang",suka pakai skr pingin banget gw uninstal transfer tp klo isi saldo ntar klo dah bs gw ambil saldo sumpah gw uninstal bintang hrusnya dpt bintang,POSITIVE
Sangat membantu dalam proses deposit,bantu proses deposit,POSITIVE
Cepat banget masuk nya,cepat banget masuk,NEGATIVE
Sampahhh!. Dana viz dimatikan malah aktid sendiri. Maulu apa?,sampahhh viz mati aktid maulu,NEGATIVE
"Sudah aman semua nya, cuma satu yang kurang paylater nya kok belum di buat-buat ya",aman kurang paylater belum,NEGATIVE
Pelayan Sekarang jelek masa saldo dana di pending harus nunggu 3-5hari,layan jelek saldo pending nunggu,NEGATIVE
Bagi saya sangat buruk di wallet dana .. Saya sudah mengunakan wallet dana untuk transaksi itu sudah mencapai puluhan juta mungkin kalau di hitung sudah 50jt nan kalau gak salah saya memakai untuk transaksi tapi sangat di sayangkan kemarin saya masuk ke situs dana.id com memilih dana cicil al hasil di wallet saya tidak rekomendasi hahahaha sangat lucu sekali ... Berarti saya transaksi di wallet dana yang di hitung bisa sampai 50 jt an tidak ada gunanya untuk mendapatkan fitur dana cicil,buruk wallet mengunakan wallet transaksi capai puluh juta hitung jt nan tidak salah pakai transaksi sayang kemarin masuk situs id com pilih cicil al hasil wallet tidak rekomendasi hahahaha lucu transaksi wallet hitung jt an tidak guna fitur cicil,NEGATIVE
.keren.,keren,POSITIVE
"Saya sering melakukan transaksi melalui DNA ,trus knpa belom jga muncul DNA cicil",transaksi dna trus knpa belum jga muncul dna cicil,NEUTRAL
"lumayan bagus, jika ada game penghasil dana free akan lebih baik",lumayan bagus game hasil free,POSITIVE
sangat cocok untuk dijadikan sebagai tempat untuk menyimpan,cocok jadi simpan,POSITIVE
Kode undangan DANA => jKLnwS,kode undang jklnws,NEUTRAL
"aplikasi rusak,payah",rusak payah,NEGATIVE
mksh apl yg cerdas,mksh cerdas,POSITIVE
mantab bisa membantu,mantab bantu,POSITIVE
Cape saldo saya kesedot Mulu mana 200k lagi,cape saldo sedot,NEGATIVE
Mengecewakan saldo saya berkurang. Aplikasi tidak aman padahal telah mengikuti syarat nya. Ada transaksi yang terjadi saat saya offline. Pihak dana pun tidak mau mengganti saldo saya.,kecewa saldo kurang tidak aman ikut syarat transaksi offline tidak ganti saldo,NEGATIVE
",,kenapa sekarang susah banget mau di download lagi dulu mudah Kalau gak bisa di update ya gak bisa di gunakan aplikasi nya.",susah banget download mudah tidak update tidak,NEGATIVE
knp sy TDK bs krm uang,knp sy tidak bs krm uang,NEUTRAL
"sangat membantu, dan tidak ribet",bantu tidak ribet,POSITIVE
Terbaik lah dana,baik,POSITIVE
Lebih baik kalian jangan pakai aplikasi dana karena sudah banyak pengguna dana yang kehilangan saldo dana/ transaksi tanpa sepengetahuan pengguna buktinya saya saldo dana 600rb ber transaksi tanpa sepengetahuan saya ke VA CIMB NIAGA OPO kejadian ini pukul 03:00 WIB subuh JAM 07:00 pagi saya top up 500rb saldo dana saya melalui virtual account BCA di ATM indomaret sesampai dirumah saya mau deposit di dana tetapi saldo 500rb saya hilang saya cek di riwayat terdapat transaksi ke VIA CIMB NIAGA OPO,jangan pakai guna hilang saldo transaksi tahu guna bukti saldo rb ber transaksi tahu va cimb niaga opo jadi wib subuh jam pagi top up rb saldo virtual account bca atm indomaret rumah deposit saldo rb hilang cek riwayat transaksi via cimb niaga opo,NEUTRAL
Sangat🅑🅐🅖🅤🅢 cuma usahakan jangan terjadinya ngelek atau jaringan bermasalah,usaha jangan ngelek jaring masalah,NEUTRAL
"duit saya sering hilang secara otomatis,sedangkn saya tidak melakukn transaksi apapun,, sekarang bnyak pembajakn,, harap berhati"" ini pasti permainan dari pihak dalam,krena yg bisa mengetahui akun kita dari pihak dana sendiri ( karywan yg tidak punya akhlak )",uang hilang otomatis sedangkn tidak melakukn transaksi apa bnyak pembajakn harap hati main krena akun karywan tidak akhlak,NEGATIVE
Gak dapat terbuka fitur nya payah padahal baru di update,tidak buka fitur payah update,NEGATIVE
Apk ini Tidak bisa diinstal,tidak diinstal,NEGATIVE
"Gimana sih nih,, akun dana saya kena bajak orang lain Keamanan nyah ga kokoh",akun kena bajak orang aman nyah tidak kokoh,NEGATIVE
"Alhamdulillah dari awal download sampai skr GK pernah ada kendala. Mau TF 10rb - 10jt aman2 aja. Begitu jg sebaliknya... Bayar cicilan, token, pulsa. Aman terkendali 👍👍👍💯 Coba ada dana pinjam kayak nya seru..😁😁😁",alhamdulillah download skr tidak kendala transfer rb jt aman jg bayar cicil token pulsa aman kendali coba pinjam kayak seru,POSITIVE
APAAN INI DANA ? KOK GW TF DARI BANK KE DANA SALDONYA MALAH HILANG ? TOLONG BENERIN LAGI LAH PERBAIKIN SISTEM NYA GW KECEWA BANGET PADAHAL DULU BAGUS TAPI KOK SEKARANG ?!! BALIKIN SALDO GW !!,gw transfer bank saldo hilang tolong benerin perbaikin sistem gw kecewa banget bagus balikin saldo gw,POSITIVE
Susah transaksi Alesan dana sedang banyak yang transfer aneh,susah transaksi alesan transfer aneh,NEGATIVE
always steady,always steady,POSITIVE
"kalau bisa pin dananya harus di masukin setiap kali mau transaksi bukan langsung nyimpan sendiri, ya kalau hpnya gak hilang, kalau hilang kayak pumya teman saya kemaren hilang juga dengan isinya",pin dana masukin kali transaksi bukan langsung nyimpan hpnya tidak hilang hilang kayak pumya teman kemaren hilang isi,NEGATIVE
"Kok makin lama dana login aja lama banget ya dan masuk akun si tunggu setengah jam ga masuk"" Akun lumayan saldo nya mubazir mohon di perbaiki🙏",login banget masuk akun si tunggu jam tidak masuk akun lumayan saldo mubazir mohon baik,NEGATIVE
Mantb,mantb,NEGATIVE
Susah log in,susah log in,NEUTRAL
Sangat memudah kan proses transaksi,mudah proses transaksi,POSITIVE
"kenapa saldo bisa kesedot otomatis oleh google tanpa harus nunggu sandi/persetujuan, pdhl saya tidak pernah melakukan transaksi/berlangganan apapun saldo saya hilang 1jt😢",saldo sedot otomatis google nunggu sandi tuju pdhl tidak transaksi langgan apa saldo hilang jt,NEGATIVE
Ok...,ok,NEGATIVE
Ok.. Tapi pitur dana cicil saya belom bisa di pake,ok pitur cicil belum pakai,NEUTRAL
deski wanimbo,deski wanimbo,NEGATIVE
"bagaimana ini sudah 1 minggu akun saya tidak bisa premium udah laporin dan kasih bukti"" malah di diemin . jangan di salah gunakan tolong para narasumber aplikasi dana.",minggu akun tidak premium laporin kasih bukti diemin jangan salah tolong narasumber,NEGATIVE
Ga jelas masa iyh baru masuk dana nya langsung ilang kan apk tolol blm tf ke siapa pun juga,tidak iyh masuk langsung ilang tolol belum transfer,NEGATIVE
Bagus ya mantap,bagus mantap,POSITIVE
Dana saya terpendam terus menerus dan kata adminnya semoga bisa membantu anda... Woyyy tolong perbaiki yang seperti ini dana terpendam.,pendam terus adminnya moga bantu woyyy tolong baik pendam,NEGATIVE
"Saya setiap bulan kena potongan 65.000, di goggle. ada apa dengan apk ini. Saya juga tidak ada langganan di apk yg lainya tp selalalu setiap bulan kena potong sama goggle 65.000 secara Otomatis...",kena potong goggle tidak langgan lai tp selalalu kena potong goggle otomatis,NEGATIVE
"Aplikasi nya bagus, hanya saja CS nya kurang paham bahasa indonesia., Saya sangat kecewa dengan payanan aplikasi DANA... Cs bernama josh",bagus customer service kurang paham bahasa indonesia kecewa payanan customer service nama josh,NEGATIVE
"segini dulu, ntar dinaikin lagi kapan2",gin ntar dinaikin,NEUTRAL
"Aplikasi tidak bertanggung jawab, Top up dana via Mbanking sukses tapi saldo dana tidak bertambah, sudah melapor ke CS atas kendala saldo dana tidak bertambah tapi tetap tak ada titik terang. Tolong kembalikan uang saya yg nominal nya tidak sedikit !! Pencuri, TIDAK AKAN LAGI SAYA MENGGUNAKAN APLIKASI YG TAK BERTANGGUNGJAWAB INI. KEMBALIKAN UANG SAYA DASAR APLIKASI TIDAK BERTANGGUNG JAWAB !!",tidak tanggung top up via mbanking sukses saldo tidak tambah lapor customer service kendala saldo tidak tambah tidak titik terang tolong kembali uang nominal tidak curi tidak tidak bertanggungjawab kembali uang dasar tidak tanggung,NEGATIVE
"saya banyak keluhan ,tapi d suruh ngantri lama. jaringan dana jelek sekali terutama malam hari. mau buka fitur pulsa data. ga ke buka2. .. payah sekali platform ini👎",keluh suruh ngantri jaring jelek malam buka fitur pulsa data tidak buka payah platform,NEGATIVE
Knp ngk bisa login otp cuman loding mulu. Ngk ad masuk otp tpi cuamn loding mulu hasu asu,knp ngk login otp cuman loding ngk ad masuk otp tpi cuamn loding hasu asu,NEUTRAL
best apps,best apps,POSITIVE
Sangat membantu dalam melakukan berbagai transaksi pembayaran apapun,bantu transaksi bayar apa,POSITIVE
Saya tf uang keterangan sukses tapi uangnya engga ada masuk kerekening saya.,transfer uang terang sukses uang engga masuk rekening,NEUTRAL
"Tumben aplikasi dana ga jelas, biasanya aman2 aja ternyata sekali ada masalah penanganannya tidak cepat dan tidak menyelesaikan masalah",tumben tidak aman tangan tidak cepat tidak selesai,NEGATIVE
Kebanyakan ganggu an ' ngga bermutu,banyak ganggu an ngga mutu,NEGATIVE
Kenapa akun saya sudah upgrade ke premium disuruh upgrade lagi. Waktu di upgrade kedua kali tidak bisa. Peraturan nya juga bilang nggak bisa pake e KTP kedua kali. Tapi saya pakai di akun yg sama dan no hp yg sama,akun upgrade premium suruh upgrade upgrade kali tidak atur bilang tidak pakai ktp kali pakai akun no hp,NEGATIVE
Kenapa setiap mau potoin KTP gagal terus harus gimana ya,potoin ktp gagal,NEGATIVE
Aktifkan dana premium tampa ktp,aktif premium tampa ktp,NEUTRAL
Makin gak jelas apknya,tidak apknya,NEGATIVE
"Ini saya mau lapor dari pihak pengguna aplikasi dana, ini uang yang di dana saya disedot oleh google gimana tanggapan nya dari pihak aplikasi dana yha, soal nya di live chat di dana malah bikin emosi ribet , tolong tanggung jawabnya dari pihak aplikasi dana, sudah banyak aplikasi dana dibobol orang, katanya ini aplikasi besar tapi kok masih bisa dibobol oleh orang lain .",lapor guna uang sedot google tanggap yha live chat bikin emosi ribet tolong tanggung bobol orang bobol orang,NEGATIVE
"Gk bisa dibuka dihp oppo a37f,aelahh",tidak buka dihp oppo aelahh,NEUTRAL
baru pakai om..sya lhat dlu kenyamanan nya...thanks,pakai om sya lhat dlu nyaman thanks,NEGATIVE
"apk sangat bagus dan berguna, udah cara pakainya mudah,tranfer gratis pokoknya is the bass lah kepada pihak dana buat fitur2 terbarunya lagi agar pengguna semagat buat apk dana digitalnya dan bagus kren. 👍",bagus guna pakai mudah tranfer gratis pokok is the bass fitur baru guna semagat digital bagus kren,POSITIVE
Kerennnnn,kerennnnn,POSITIVE
Sudah mantap ok,mantap ok,POSITIVE
Isi saldo lama masuk .. tf ga kena2 ehh tiba2 akun di bekukan .. gaje bgt Gimana nih updte skrng makin payah ..,isi saldo masuk transfer tidak kena ehh akun beku gaje banget updte skrng payah,NEGATIVE
Mantep good,mantep good,POSITIVE
"3 dulu aja karena gak bisa upgrade premium, udah nunggu 3 hari gak ada respon lg. Seminggu kemudian tetep gak bisa upgrade.",tidak upgrade premium nunggu tidak respon lg minggu tetep tidak upgrade,NEGATIVE
siplah,sip,NEGATIVE
mohon maaf ya ka kenapa aplikasi nya udah ga bisa di gunain lagi,mohon maaf ka tidak gunain,NEUTRAL
"Menurut saya dompet digital dana ini keamanan nya buruk, berdasarkan pengalaman saya , saya pernah transfer ke no yg no nya itu blm pernah daftarin dana tapi uangnya terkirim dan ga bisa di kembalikan , baru kemarin ada seseorang yg bisa masuk ke akun saya trus transfer semua isi saldo di akun saya dan dia ganti pin juga , mohon jadi perhatiannya dan segera di perbaiki karena ini menyangkut masalah uang",dompet digital aman buruk dasar alam transfer no no belum daftarin uang kirim tidak kembali kemarin masuk akun trus transfer isi saldo akun ganti pin mohon perhati baik uang,NEGATIVE
Dana kenapa ya dari zdi mo transfer ga bisa bisa,zdi mo transfer tidak,NEUTRAL
Sangatmembantu,sangatmembantu,POSITIVE
Sangat membantu dalam pengiriman dan penarikan DANA. Semoga DANA selalu melindungi akun dengan baik agar terhindar dari orang-orang yang tak bertanggung jawab.,bantu kirim tari moga lindung akun hindar orang orang tidak tanggung,POSITIVE
mempermudah segala sesutu dalam kehidupan sehari hari,mudah sesutu hidup hari,POSITIVE
"Dimohon untuk di perbaiki, bukanya mempermudah malah sebaliknya buat TF aja loadingnya lama sedangkan jaringan saya lancar² saja, mohon untuk segera di perbaiki lagi Terimakasih",mohon baik buka mudah transfer loadingnya jaring lancar mohon baik terimakasih,NEGATIVE
Woy itu kok daftar ke dana premium gagal terus si?????!!!! Pdhl sudah di foto dengan jelas tapi keterangan foto nya ga jelas gimana ini?!!!!!???? Perbaikilah,woy daftar premium gagal si pdhl foto terang foto tidak baik,NEGATIVE
mantappppppooooooo,mantappppppooooooo,POSITIVE
"Aplikasi pencuri, gua kirim uang dari dana ke bank lain, transaksi berhasil tapi saldo tidak masuk ke rekening tujuan. Jangan ada yang pake aplikasi ini lagi",curi kirim uang bank transaksi hasil saldo tidak masuk rekening tuju jangan pakai,NEGATIVE
Tidak bisa hapus akun dana,tidak hapus akun,NEUTRAL
Untuk apa ada verifikasi wajah segala kalo penipu masih bisa bobol lewat nomor telepon,verifikasi wajah kalo tipu bobol nomor telepon,NEGATIVE
Gimana sih kok ga bisa TF padahal lagi butuh banget kecewa banget sama apk ini,tidak transfer butuh banget kecewa banget,NEGATIVE
jangan sering di update,jangan update,POSITIVE
"Aplikasi paling merugikan ,maling",rugi maling,NEGATIVE
Dana sekarang ga aman saldo bisa transaksi sendiri repot baru di isi langsung habis,tidak aman saldo transaksi repot isi langsung habis,NEGATIVE
Sya tidak suka karna saldo sya hilang tiba tiba,sya tidak suka saldo sya hilang,NEGATIVE
lumayan bagus sangat mmbntu,lumayan bagus mmbntu,POSITIVE
"Terimakasih atas sarannya, uang saya sudah kembali, saya harap hal ini tidak terjadi lagi dan Dana semakin meningkat",terimakasih saran uang harap tidak tingkat,POSITIVE
Sangat mudah digunakan 😄😄😄💯mantaf,mudah mantaf,POSITIVE
"sangat membantu buat tf cepat dan gak pake admin gratis,semoga sukses selalu.",bantu transfer cepat tidak pakai admin gratis moga sukses,POSITIVE
"Kenapa mau login dana tidak bisa, tombol lanjutkan setelah mengisi nomor tidak bisa di tekan",login tidak tombol lanjut isi nomor tidak tekan,NEUTRAL
"Tiba tiba pembekuan akun ini gimana maksudnya, saldonya ada lumayan lagi. Kasih info baru B5. Kata cs ndak boleh buka aplikasi dana, nanti uangnya bisa hilang. Kan repot banget",beku akun maksud saldo lumayan kasih info customer service ndak buka uang hilang repot banget,NEGATIVE
"woi dana ini transfer knp g masuk .. tidak usah d update ,,mlah makin rusak, tidak malah bener malah rusak",woi transfer knp masuk tidak update mlah rusak tidak bener rusak,NEGATIVE
"Aplikasi nya bagussss banget,ayo coba smua nya ☺️🥰",bagussss banget ayo coba smua,POSITIVE
Dulu bagus .skrg transaksi makin lemot dan minta upgrade ke dana premium .bagai mana ini,bagus skrg transaksi lambat upgrade premium,NEGATIVE
Pulsa,pulsa,POSITIVE
Bang gara² ada lu gw jarang Nemu duit di jalan hehe,bang gara gw jarang nemu uang jalan hehe,NEGATIVE
sy sangat bangga dgn aplikasi dana karna sngat mudah untuk keperluan di saat darurat 👍👍makanya sy ksh bintang 5👌👍👍😘,sy bangga dgn sngat mudah perlu darurat sy ksh bintang,POSITIVE
Semakin lama proses pembelian...,proses beli,NEGATIVE
"Kendala saya hanya kenapa fitur pulsa dan data tidak bisa di buka,tolong d perbaiki",kendala fitur pulsa data tidak buka tolong baik,NEGATIVE
Tidak dapat mengubah ke dana premium,tidak ubah premium,NEUTRAL
aplikasi bagus buat topup epep 🗿🗿🗿🗿,bagus topup epep,POSITIVE
"Td pagi jam 11an tgl 3 Januari 2024 saya dpt Transfer 50rb dr CIMB NIAGA lalu saya beli paket kuota indosat FREEDOM INTERNET 20+2GB ( FREEDOM INTERNET 22GB yg 30hari seharga 45rb ) sdh saya bayar lwt DANA tp paket kuota saya blm masuk2. Saya chat ke Agent Dana brnama Diana kirain Customer Service gatau nya cm mesin penjawab. Pdhal di bukti transaksi aplikasi DANA ada buktinya...PENIPUAN !!! Males bgt chat ke Diana Cs DANA, ngpain...cm jwbnya itu2 doang gada jwban nya.makan tuch uang ga halal !!!",td pagi jam an tgl januari dpt transfer rb dr cimb niaga beli paket kuota indosat freedom internet gb freedom internet gb harga rb bayar lwt tp paket kuota belum masuk chat agent brnama ana kirain customer service gatau cm mesin jawab pdhal bukti transaksi bukti tipu males banget chat ana customer service ngpain cm jwbnya doang gada jwban makan tuch uang tidak halal,NEUTRAL
cuma minum nya tidak ada admin bot saja..,minum tidak admin bot,NEGATIVE
Pnyimpanan,pnyimpanan,POSITIVE
aplikasi yang bagus buat trsfer,bagus trsfer,POSITIVE
Oke dana,oke,POSITIVE
Maaf saya kasih 1 soal banyak bug ny walau pun udh di updt,maaf kasih bug ny updt,NEUTRAL
"Saya membeli paket data di my XL dengan pembayaran menggunakan aplikasi DANA sebesar 93.800.Saldo DANA sudah terpotong,tapi paket belum kunjung terkirim, setelah 1 Hari menunggu tetep belom masuk paket data tsb. Akhirnya saya telfon pihak XL,Mereka mengkonfirmasi pada jam saat membeli paket tsb sedang terjadi trouble namun pihak XL sudah merefaund saldo saya,jika saldo belom pulih silahkan mengkonfirmasi pihak aplikasi DANA. Tapi setelah saya konfirmasi sudah 5 hari belom ada pengembalian dana.",beli paket data my xl bayar saldo potong paket belum kunjung kirim tunggu tetep belum masuk paket data tsb telfon xl konfirmasi jam beli paket tsb trouble xl merefaund saldo saldo belum pulih silah konfirmasi konfirmasi belum kembali,NEGATIVE
"Gak merasa transaksi apa-apa tapi saldo Saya habis atu ludes, gak banyak sih tapi kecewa kok bisa di jebol sama orang lain",tidak transaksi saldo habis atu ludes tidak kecewa jebol orang,NEGATIVE
apk nya bagus sekali👍👍,bagus,POSITIVE
Sangat membantu & memudahkan bertransaksi,bantu mudah transaksi,POSITIVE
saya sering tiap hari bertransaksi tapi tidak ada dana cicil di akun saya bahkan playter juga kaga ada apah sistem nya kaga liat yah,transaksi tidak cicil akun playter tidak apah sistem tidak liat yah,NEUTRAL
Burik Makin sini makin gangguan mulu,burik ganggu,NEGATIVE
"Transaksi pembayaran PDAM status proses terus nih , transaksi ditempat lain lancar , gimana saldonya ya aplikasi karbitan",transaksi bayar pdam status proses transaksi tempat lancar saldo karbitan,NEUTRAL
"ga kepake sama sekali apk nya mulai dari awal download sampe sekarang dikarenakan gabisa daftar, padahal udah diisi nomer telfon yg bener eh pas dilanjutkan malah muncul (jaringan bermasalah, silahkan coba beberapa saat lagi) gacuman itu aja pas udah didiemin sampe berapa mingguan eh ganti lagi jadi muncul (akun anda dibekukan), sampe liat di yt katanya bersihkan cache wes tak coba semuanya tetep zonk.. otw uninstall, oiya sekalian saran dong apk apa yg bagus selain ini buat dompet digital 🙏🏻",tidak kepake download sampe tidak daftar isi nomer telfon bener eh pas lanjut muncul jaring masalah silah coba gacuman pas didiemin sampe minggu eh ganti muncul akun beku sampe liat yt sih cache wes tidak coba tetep zonk otw uninstall oiya saran bagus dompet digital,NEGATIVE
Pengisian saldo dari agen resmi tetap terpotong 500,isi saldo agen resmi potong,NEUTRAL
Jaringan sibuk splikasi tidak bisa digunakan,jaring sibuk splikasi tidak,NEGATIVE
Lumayan bagus aplikasi nya....Saya sangat menyukai nya............,lumayan bagus suka,POSITIVE
OK nice,ok nice,POSITIVE
pake dana ga ribet..simple banget..,pakai tidak ribet simple banget,NEGATIVE
semua jd mudah😊,mudah,POSITIVE
Mengapa tidak ada sensor wajah,tidak sensor wajah,NEGATIVE
Bagus sangat penting untuk dimiliki,bagus milik,POSITIVE
BENER SUKA BGT SAMA APK MASHYAGANANZVSVAHYSGS❤️❤️❤️❤️,bener suka banget mashyagananzvsvahysgs,NEUTRAL
"Saldo gua hilang Rp.500.000, ada transaksi tanpa gua ketahui, ternyata sudah banyak korbannya",saldo hilang rp transaksi tahu korban,NEGATIVE
Udah bagus tapi belum puas belum ada fitur paylater,bagus belum puas belum fitur paylater,POSITIVE
Dana asu penipuu gak bertanggung jawab,asu penipuu tidak tanggung,NEGATIVE
"Kenapa uang dana saya di beku kan ,trus kalau mau uang itu kmbli harus top up dulu,",uang beku trus uang kmbli top up,NEUTRAL
